canonical_smiles,standard_value
C=C[C@]12OC(=O)N(CCCCn3cnc(-c4ccc(Cl)nc4)c3)[C@@H]1[C@@H](C)C(=O)[C@H](C)C[C@@](C)(OC)[C@H](O[C@@H]1O[C@H](C)C[C@H](N(C)C)[C@H]1O)[C@@H](C)C(=O)[C@@H](C)C(=O)O[C@@H]2CC,1.3
CC#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)[nH]c23)CC1,2.35
CC#CC(=O)N[C@H]1CCCN(c2c(F)cc(C(N)=O)c3[nH]c(C)c(C)c23)C1,4.3
CC#CCC(C)[C@H](O)/C=C/[C@@H]1[C@H]2c3cccc(CCCC(=O)[O-])c3OC2C[C@H]1O.[Na+],1.865
CC#CCN1C[C@@H](NC(=O)c2ccc(Cc3cc(C)nc4ccccc34)cc2)[C@@H](C(=O)NO)C1,2.9
CC#CCOc1ccc(S(=O)(=O)CC2(C(=O)NO)CCN(S(=O)(=O)C(C)C)CC2)cc1,0.5
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2ccc(Br)c(C(=O)O)c2)c1=O,0.59
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2ccc(Cl)c(C(=O)O)c2)c1=O,0.91
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2ccc(F)c(C(=O)O)c2)c1=O,0.96
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2ccc(F)c(C(=O)OC)c2)c1=O,1.73
CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2ccc3ccc(Cl)cc3n2)c1=O,5.65
CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(CCCN1CCN(c3nc(-c4ccccc4)no3)CC1)c(=O)n2C.Cl,0.63
CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1cc(Cl)ccc1C(=O)O)c(=O)n2C,0.82
CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1cc(OC)ccc1C(=O)O)c(=O)n2C,0.26
CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1ccc(Br)cc1C(=O)O)c(=O)n2C,5.75
CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1ccc(Cl)cc1C(=O)O)c(=O)n2C,5.24
CC#C[C@@H](CC(=O)O)c1ccc(OC[C@H]2COc3ccc(-c4ccc(Cl)cc4Cl)cc3O2)cc1,4.06
CC#C[C@@H](CC(=O)O)c1ccc(OC[C@H]2COc3ccc(-c4ccc(OC)cc4)cc3O2)cc1,3.88
CC#C[C@@H](CC(=O)O)c1ccc(OC[C@H]2COc3ccc(Cl)cc3O2)cc1,13.2
CC#C[C@@H](CC(=O)O)c1ccc(OCc2ccc3nc(-c4c(C)cccc4C)nn3c2)cc1,3.98
CC#C[C@@H](CC(=O)O)c1ccc(OCc2cccc(-c3c(C)cc(OCCCS(C)(=O)=O)cc3C)c2)s1,3.8
CC#C[C@@H](CC(=O)O)c1ccc(OCc2cccc(-c3ccc(C(F)(F)F)cc3)c2)cc1,7.2
CC#C[C@@H](CC(=O)[O-])c1ccc(OCc2cccc(CN(Cc3ccsc3)C(C)C)c2)cc1.CC#C[C@@H](CC(=O)[O-])c1ccc(OCc2cccc(CN(Cc3ccsc3)C(C)C)c2)cc1.[Ca+2],1.78
CC#C[C@@H](Cc1nnn[nH]1)c1ccc(OCc2ccc3sc(C(F)(F)F)c(-c4ccccc4C)c3c2)cc1,3.1
CC#C[C@@H](Cc1nnn[nH]1)c1ccc(OCc2ccc3sc(Cl)c(-c4ccccc4C)c3c2)cc1,2.7
CC#C[C@@H](Cc1nnn[nH]1)c1ccc(OCc2ccc3sc(F)c(-c4ccccc4C)c3c2)cc1,4.3
CC#C[C@@H](Cc1nnn[nH]1)c1ccc(OCc2ccc3scc(-c4ccc(OCC5(C)CS(=O)(=O)C5)cc4C)c3c2)cc1,1.9
CC#C[C@@H](Cc1nnn[nH]1)c1ccc(OCc2ccc3scc(-c4ccc(OCCCS(C)(=O)=O)cc4C)c3c2)cc1,1.5
CC#C[C@@H](Cc1nnn[nH]1)c1ccc(OCc2ccc3scc(-c4ccccc4C)c3c2)cc1,1.9
CC#C[C@H]1CN(S(=O)(=O)c2ccc(N)nc2)CCN1c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,3.6
CC#C[C@H]1CN(S(=O)(=O)c2ccc(N)nc2)CCN1c1ccc(S(=O)(=O)NC)cc1,4.1
CC#C[C@H]1CN(S(=O)(=O)c2ccc(N)nc2)CCN1c1ccc(S(N)(=O)=O)cc1,1.6
CC#C[C@H]1CN(S(=O)(=O)c2ccc(N)nc2)CCN1c1ccc([C@@](C)(O)C(F)(F)F)cn1,3.2
CC#C[C@H]1CN(S(=O)(=O)c2ccc(N)nc2)CCN1c1ccc([C@](O)(CO)C(F)(F)F)cc1,3.9
CC#C[C@H]1CN(S(=O)(=O)c2ccc(N)nc2)CCN1c1ccc([S@](=N)(=O)C(F)(F)F)cc1,2.8
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,1.6
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,1.8
CC#Cc1cncc(-c2cc(Cl)c([C@]3(C)CC(=O)N(C)C(=N)N3)s2)c1,2.8
CC(=N)N1CCC(Oc2ccc3c(c2)OCC(=O)N3Cc2ccc3ccc(C(=N)N)cc3c2)CC1,0.5
CC(=O)C1=C(C)N=C2Sc3ccccc3N2C1c1ccc(F)cc1,2.6
CC(=O)C1=C(C)N=C2Sc3ccccc3N2C1c1cccc([N+](=O)[O-])c1,2.8
CC(=O)CCCCC[C@H](NC(=O)C1CCN(C)CC1)c1ncc(-c2ccc3ccccc3c2)[nH]1,2.4
